subject,test,label,label_time,feat1,feat2,feat3,feat4,feat5
1,1,1,1,1.1999999999999944,3.3609101969560417e+33,5.939945653296921,423.31590336461284,5.9628788761078475
1,1,1,2,1.1999999999999944,3.4701360253236404e+33,5.9509511924500265,425.5783401257969,5.951588528953987
1,1,1,3,1.1621440000000012,3.590622310233995e+33,5.950801812539291,428.00619398297806,5.987669852289338
1,1,1,4,1.1570239999999925,3.7112330161996345e+33,6.012273357686257,430.3694849435574,5.963077431267733
1,1,1,5,1.170144000000001,3.823262295272655e+33,5.9744842104997264,432.507970715703,5.9704456822134615
1,1,1,6,1.1628480000000037,3.93170720138582e+33,5.96734478275728,434.5288616915025,5.96096804943778
1,1,1,7,1.1109600000000055,4.0429222956195493e+33,5.9650091295828105,436.55369212998187,5.945119332194038
1,1,1,8,1.0894399999999973,4.1638901966910504e+33,5.926632410877137,438.70405091265815,5.9577112615305055
1,1,1,9,1.1600000000000004,4.30230076357977e+33,5.949799991692037,441.1015269210482,5.961306559080478
1,1,1,10,1.1277439999999992,4.4667403795618805e+33,5.9175247230266335,443.8677090366686,5.943700880691849
1,1,2,1,1.1582560000000035,4.667006187593174e+33,5.9577738941873335,447.12418614103655,5.96024254219519
1,1,2,2,1.177600000000002,4.914570741123836e+33,5.944303426078918,450.9925471156688,5.963463297941762
1,1,2,3,1.1392000000000042,5.242291759296769e+33,5.97133672637154,455.87099880600965,5.947082066830496
1,1,2,4,1.1007839999999975,5.990752477547446e+33,5.953811625957012,466.1245701546058,5.96735686526132
1,1,2,5,1.0980160000000052,7.552139046572254e+33,5.915012956730349,484.46985890291984,5.96024254219519
1,1,2,6,1.058944000000002,1.0200364473728525e+34,5.964194058939184,509.35946598475715,5.9476640582589075
1,1,2,7,1.0480000000000016,1.4325640374562287e+34,5.916033207542382,539.0231784762677,5.92288884686809
1,1,2,8,1.1176960000000034,2.0390725604845661e+34,5.966754220386733,571.6899355097822,5.959482752250986
1,1,3,1,1.1096800000000029,2.8809510246574884e+34,5.950232980310142,605.5886762176316,5.954190932057612
1,1,3,2,1.1197759999999988,3.9743295581785644e+34,5.956584131427099,638.948339732146,5.928135675728357
1,1,3,3,1.0686400000000045,5.283356476693472e+34,5.9538097549315365,669.9978651856562,5.926956092494337
1,1,3,4,1.058976000000004,6.694831832370282e+34,5.920848709220339,696.9661917104933,5.9442538430305465
1,1,3,5,1.0723839999999971,8.023423516815662e+34,5.961412341948643,718.315193783269,5.9795338726994585
1,1,3,6,1.0661600000000029,9.309258037266872e+34,5.955199903840697,736.3330226992515,5.9793035394489635
1,1,3,7,1.0217279999999989,1.071493311504639e+35,5.9538097549315365,753.7951588826953,5.937028609406811
1,1,3,8,0.999808,1.2236283275355492e+35,5.936700758493247,770.6609502292987,5.91818564809132
